emp_id,avg_training_score
1,85.0
2,63.0
4,53.0
5,86.0
7,59.0
8,52.0
9,50.0
10,60.0
12,77.0
14,60.0
15,50.0
18,57.0
26,70.0
28,81.0
32,56.0
33,77.0
34,0.0
35,52.0
36,63.0
37,52.0
38,86.0
39,90.0
42,85.0
43,49.0
44,60.0
45,50.0
47,82.0
48,82.0
49,62.0
51,68.0
52,63.0
54,70.0
56,48.0
57,79.0
59,84.0
60,82.0
61,84.0
62,50.0
65,47.0
67,82.0
70,50.0
71,88.0
72,87.0
74,56.0
76,71.0
78,79.0
79,55.0
80,52.0
81,58.0
84,76.0
85,59.0
89,48.0
90,63.0
91,60.0
92,50.0
94,79.0
95,82.0
96,52.0
98,80.0
99,88.0
100,50.0
101,49.0
102,59.0
105,81.0
106,56.0
107,52.0
108,88.0
109,79.0
110,60.0
111,55.0
113,83.0
114,81.0
115,46.0
116,83.0
119,46.0
120,51.0
121,51.0
122,84.0
124,87.0
125,59.0
127,81.0
128,68.0
129,83.0
130,88.0
132,49.0
133,77.0
134,87.0
135,84.0
136,50.0
137,90.0
138,52.0
139,70.0
142,90.0
143,77.0
144,54.0
146,86.0
149,84.0
150,80.0
151,50.0
153,67.0
155,64.0
156,62.0
157,53.0
158,69.0
159,0.0
160,79.0
161,49.0
162,49.0
163,51.0
164,82.0
166,73.0
167,80.0
169,84.0
170,94.0
172,81.0
175,48.0
176,58.0
177,72.0
180,86.0
184,50.0
185,79.0
186,79.0
187,50.0
189,76.0
190,79.0
191,62.0
192,85.0
193,59.0
195,83.0
196,46.0
197,0.0
200,79.0
201,80.0
202,81.0
205,82.0
206,82.0
207,57.0
208,47.0
209,48.0
210,48.0
211,84.0
212,87.0
215,52.0
216,66.0
217,67.0
218,83.0
219,52.0
220,68.0
221,0.0
222,71.0
223,50.0
225,65.0
229,81.0
231,78.0
233,62.0
234,56.0
235,70.0
236,77.0
238,56.0
239,69.0
240,67.0
241,57.0
242,76.0
243,50.0
244,0.0
245,48.0
246,50.0
247,46.0
248,60.0
249,57.0
252,89.0
253,52.0
254,57.0
255,78.0
256,57.0
257,86.0
260,56.0
262,43.0
263,76.0
264,62.0
265,71.0
266,71.0
268,55.0
270,83.0
271,69.0
272,82.0
273,64.0
274,50.0
275,81.0
276,46.0
278,86.0
279,56.0
280,58.0
283,82.0
284,50.0
286,46.0
287,62.0
288,62.0
290,54.0
291,64.0
292,67.0
293,51.0
294,78.0
296,68.0
297,50.0
298,96.0
299,49.0
300,73.0
301,53.0
303,71.0
304,50.0
305,59.0
306,68.0
308,60.0
309,79.0
310,62.0
311,51.0
312,0.0
315,62.0
316,94.0
317,47.0
318,0.0
319,0.0
320,56.0
321,58.0
322,46.0
324,59.0
325,51.0
326,52.0
327,67.0
328,51.0
329,52.0
331,49.0
333,58.0
334,70.0
335,42.0
340,63.0
344,51.0
345,55.0
346,51.0
347,60.0
348,81.0
349,59.0
350,58.0
351,82.0
352,83.0
353,48.0
354,62.0
357,81.0
358,80.0
359,70.0
360,51.0
361,50.0
362,57.0
363,63.0
365,51.0
367,56.0
369,79.0
370,62.0
371,80.0
372,53.0
378,49.0
379,51.0
380,48.0
381,54.0
382,0.0
383,83.0
385,66.0
386,51.0
387,0.0
388,53.0
390,60.0
391,66.0
392,73.0
393,84.0
394,53.0
396,70.0
397,74.0
398,48.0
399,65.0
402,57.0
404,58.0
406,97.0
407,80.0
409,51.0
413,48.0
414,47.0
416,63.0
417,71.0
418,76.0
419,80.0
420,88.0
421,58.0
422,82.0
423,51.0
425,67.0
427,71.0
428,72.0
431,68.0
432,48.0
433,49.0
436,48.0
438,50.0
439,70.0
440,80.0
442,98.0
443,47.0
444,50.0
445,74.0
448,49.0
449,78.0
450,50.0
451,85.0
452,64.0
453,69.0
454,58.0
455,69.0
456,60.0
458,48.0
461,70.0
462,78.0
463,50.0
464,0.0
465,66.0
466,0.0
468,60.0
469,81.0
471,57.0
473,88.0
474,52.0
475,51.0
476,84.0
477,56.0
478,88.0
480,0.0
482,82.0
483,54.0
484,46.0
485,48.0
486,51.0
488,53.0
489,77.0
492,62.0
494,48.0
495,49.0
496,57.0
498,87.0
499,54.0
500,53.0
502,71.0
503,58.0
504,50.0
505,48.0
507,69.0
508,84.0
509,50.0
510,49.0
511,58.0
513,76.0
514,78.0
515,65.0
516,85.0
519,48.0
520,59.0
521,69.0
522,82.0
524,88.0
525,49.0
526,48.0
527,84.0
529,76.0
530,70.0
531,52.0
532,85.0
533,83.0
534,49.0
535,58.0
536,80.0
537,59.0
539,86.0
540,64.0
541,87.0
543,87.0
547,77.0
551,73.0
552,81.0
554,46.0
555,66.0
556,47.0
557,52.0
558,59.0
559,88.0
562,57.0
563,50.0
567,49.0
568,51.0
569,70.0
570,52.0
571,53.0
573,86.0
574,58.0
577,60.0
578,68.0
579,50.0
580,0.0
581,0.0
582,59.0
586,86.0
587,63.0
588,60.0
589,47.0
592,59.0
593,62.0
594,90.0
595,50.0
596,68.0
597,69.0
598,60.0
599,69.0
600,72.0
601,53.0
602,80.0
603,62.0
604,77.0
605,79.0
607,88.0
608,47.0
609,48.0
612,53.0
613,79.0
615,51.0
617,56.0
618,57.0
621,67.0
623,60.0
624,82.0
626,49.0
628,51.0
631,50.0
632,82.0
633,49.0
634,50.0
635,82.0
636,48.0
638,68.0
639,89.0
640,66.0
641,60.0
643,49.0
644,70.0
645,62.0
646,67.0
648,80.0
652,70.0
653,60.0
656,78.0
659,53.0
660,81.0
661,83.0
662,81.0
663,55.0
664,74.0
665,58.0
667,83.0
668,49.0
669,46.0
670,79.0
671,46.0
673,72.0
674,82.0
675,51.0
676,52.0
678,49.0
679,50.0
680,64.0
682,47.0
683,52.0
684,86.0
685,86.0
687,79.0
688,56.0
689,69.0
690,48.0
691,70.0
692,0.0
693,49.0
694,86.0
698,0.0
701,53.0
703,84.0
704,60.0
708,64.0
709,0.0
710,86.0
712,46.0
713,58.0
714,46.0
715,50.0
716,49.0
717,59.0
721,51.0
722,84.0
723,48.0
725,58.0
729,64.0
731,0.0
734,47.0
735,81.0
739,47.0
740,70.0
741,53.0
742,80.0
743,56.0
744,83.0
745,78.0
746,48.0
747,57.0
748,86.0
750,51.0
751,57.0
752,59.0
753,48.0
755,46.0
756,50.0
757,56.0
758,47.0
760,79.0
766,52.0
767,60.0
768,79.0
769,64.0
770,84.0
772,62.0
773,47.0
774,51.0
776,43.0
778,81.0
779,50.0
780,79.0
781,75.0
782,0.0
783,65.0
785,46.0
786,54.0
789,87.0
791,69.0
792,47.0
794,52.0
795,52.0
796,57.0
797,51.0
800,52.0
803,48.0
804,47.0
805,59.0
806,81.0
807,85.0
809,68.0
810,50.0
811,48.0
812,84.0
814,57.0
815,48.0
816,78.0
817,55.0
818,0.0
819,43.0
820,55.0
821,65.0
822,59.0
823,47.0
824,52.0
825,46.0
826,47.0
828,86.0
830,53.0
831,47.0
832,70.0
834,69.0
835,82.0
837,60.0
839,57.0
841,85.0
843,53.0
844,70.0
845,53.0
846,70.0
847,63.0
848,48.0
849,81.0
851,84.0
853,55.0
854,57.0
855,49.0
857,48.0
858,90.0
860,50.0
861,43.0
863,0.0
865,49.0
866,51.0
867,79.0
869,82.0
871,46.0
876,58.0
878,79.0
880,56.0
881,64.0
882,48.0
884,85.0
885,90.0
887,73.0
888,58.0
889,87.0
890,0.0
891,51.0
894,85.0
895,49.0
897,49.0
898,57.0
899,54.0
900,85.0
901,80.0
904,60.0
905,49.0
906,0.0
907,49.0
908,54.0
909,57.0
910,70.0
911,66.0
912,53.0
913,76.0
914,0.0
917,56.0
918,53.0
919,48.0
