emp_id,avg_training_score,retention
1,85.0,True
2,63.0,True
4,53.0,True
5,86.0,True
7,59.0,True
8,52.0,True
9,50.0,False
10,60.0,True
12,77.0,True
14,60.0,True
15,50.0,False
18,57.0,True
26,70.0,True
28,81.0,True
32,56.0,True
33,77.0,True
34,0.0,False
35,52.0,True
36,63.0,True
37,52.0,True
38,86.0,True
39,90.0,True
42,85.0,True
43,49.0,False
44,60.0,True
45,50.0,False
47,82.0,True
48,82.0,True
49,62.0,True
51,68.0,True
52,63.0,True
54,70.0,True
56,48.0,False
57,79.0,True
59,84.0,True
60,82.0,True
61,84.0,True
62,50.0,False
65,47.0,False
67,82.0,True
70,50.0,False
71,88.0,True
72,87.0,True
74,56.0,True
76,71.0,True
78,79.0,True
79,55.0,True
80,52.0,True
81,58.0,True
84,76.0,True
85,59.0,True
89,48.0,False
90,63.0,True
91,60.0,True
92,50.0,False
94,79.0,True
95,82.0,True
96,52.0,True
98,80.0,True
99,88.0,True
100,50.0,False
101,49.0,False
102,59.0,True
105,81.0,True
106,56.0,True
107,52.0,True
108,88.0,True
109,79.0,True
110,60.0,True
111,55.0,True
113,83.0,True
114,81.0,True
115,46.0,False
116,83.0,True
119,46.0,False
120,51.0,True
121,51.0,True
122,84.0,True
124,87.0,True
125,59.0,True
127,81.0,True
128,68.0,True
129,83.0,True
130,88.0,True
132,49.0,False
133,77.0,True
134,87.0,True
135,84.0,True
136,50.0,False
137,90.0,True
138,52.0,True
139,70.0,True
142,90.0,True
143,77.0,True
144,54.0,True
146,86.0,True
149,84.0,True
150,80.0,True
151,50.0,False
153,67.0,True
155,64.0,True
156,62.0,True
157,53.0,True
158,69.0,True
159,0.0,False
160,79.0,True
161,49.0,False
162,49.0,False
163,51.0,True
164,82.0,True
166,73.0,True
167,80.0,True
169,84.0,True
170,94.0,True
172,81.0,True
175,48.0,False
176,58.0,True
177,72.0,True
180,86.0,True
184,50.0,False
185,79.0,True
186,79.0,True
187,50.0,False
189,76.0,True
190,79.0,True
191,62.0,True
192,85.0,True
193,59.0,True
195,83.0,True
196,46.0,False
197,0.0,False
200,79.0,True
201,80.0,True
202,81.0,True
205,82.0,True
206,82.0,True
207,57.0,True
208,47.0,False
209,48.0,False
210,48.0,False
211,84.0,True
212,87.0,True
215,52.0,True
216,66.0,True
217,67.0,True
218,83.0,True
219,52.0,True
220,68.0,True
221,0.0,False
222,71.0,True
223,50.0,False
225,65.0,True
229,81.0,True
231,78.0,True
233,62.0,True
234,56.0,True
235,70.0,True
236,77.0,True
238,56.0,True
239,69.0,True
240,67.0,True
241,57.0,True
242,76.0,True
243,50.0,False
244,0.0,False
245,48.0,False
246,50.0,False
247,46.0,False
248,60.0,True
249,57.0,True
252,89.0,True
253,52.0,True
254,57.0,True
255,78.0,True
256,57.0,True
257,86.0,True
260,56.0,True
262,43.0,False
263,76.0,True
264,62.0,True
265,71.0,True
266,71.0,True
268,55.0,True
270,83.0,True
271,69.0,True
272,82.0,True
273,64.0,True
274,50.0,False
275,81.0,True
276,46.0,False
278,86.0,True
279,56.0,True
280,58.0,True
283,82.0,True
284,50.0,False
286,46.0,False
287,62.0,True
288,62.0,True
290,54.0,True
291,64.0,True
292,67.0,True
293,51.0,True
294,78.0,True
296,68.0,True
297,50.0,False
298,96.0,True
299,49.0,False
300,73.0,True
301,53.0,True
303,71.0,True
304,50.0,False
305,59.0,True
306,68.0,True
308,60.0,True
309,79.0,True
310,62.0,True
311,51.0,True
312,0.0,False
315,62.0,True
316,94.0,True
317,47.0,False
318,0.0,False
319,0.0,False
320,56.0,True
321,58.0,True
322,46.0,False
324,59.0,True
325,51.0,True
326,52.0,True
327,67.0,True
328,51.0,True
329,52.0,True
331,49.0,False
333,58.0,True
334,70.0,True
335,42.0,False
340,63.0,True
344,51.0,True
345,55.0,True
346,51.0,True
347,60.0,True
348,81.0,True
349,59.0,True
350,58.0,True
351,82.0,True
352,83.0,True
353,48.0,False
354,62.0,True
357,81.0,True
358,80.0,True
359,70.0,True
360,51.0,True
361,50.0,False
362,57.0,True
363,63.0,True
365,51.0,True
367,56.0,True
369,79.0,True
370,62.0,True
371,80.0,True
372,53.0,True
378,49.0,False
379,51.0,True
380,48.0,False
381,54.0,True
382,0.0,False
383,83.0,True
385,66.0,True
386,51.0,True
387,0.0,False
388,53.0,True
390,60.0,True
391,66.0,True
392,73.0,True
393,84.0,True
394,53.0,True
396,70.0,True
397,74.0,True
398,48.0,False
399,65.0,True
402,57.0,True
404,58.0,True
406,97.0,True
407,80.0,True
409,51.0,True
413,48.0,False
414,47.0,False
416,63.0,True
417,71.0,True
418,76.0,True
419,80.0,True
420,88.0,True
421,58.0,True
422,82.0,True
423,51.0,True
425,67.0,True
427,71.0,True
428,72.0,True
431,68.0,True
432,48.0,False
433,49.0,False
436,48.0,False
438,50.0,False
439,70.0,True
440,80.0,True
442,98.0,True
443,47.0,False
444,50.0,False
445,74.0,True
448,49.0,False
449,78.0,True
450,50.0,False
451,85.0,True
452,64.0,True
453,69.0,True
454,58.0,True
455,69.0,True
456,60.0,True
458,48.0,False
461,70.0,True
462,78.0,True
463,50.0,False
464,0.0,False
465,66.0,True
466,0.0,False
468,60.0,True
469,81.0,True
471,57.0,True
473,88.0,True
474,52.0,True
475,51.0,True
476,84.0,True
477,56.0,True
478,88.0,True
480,0.0,False
482,82.0,True
483,54.0,True
484,46.0,False
485,48.0,False
486,51.0,True
488,53.0,True
489,77.0,True
492,62.0,True
494,48.0,False
495,49.0,False
496,57.0,True
498,87.0,True
499,54.0,True
500,53.0,True
502,71.0,True
503,58.0,True
504,50.0,False
505,48.0,False
507,69.0,True
508,84.0,True
509,50.0,False
510,49.0,False
511,58.0,True
513,76.0,True
514,78.0,True
515,65.0,True
516,85.0,True
519,48.0,False
520,59.0,True
521,69.0,True
522,82.0,True
524,88.0,True
525,49.0,False
526,48.0,False
527,84.0,True
529,76.0,True
530,70.0,True
531,52.0,True
532,85.0,True
533,83.0,True
534,49.0,False
535,58.0,True
536,80.0,True
537,59.0,True
539,86.0,True
540,64.0,True
541,87.0,True
543,87.0,True
547,77.0,True
551,73.0,True
552,81.0,True
554,46.0,False
555,66.0,True
556,47.0,False
557,52.0,True
558,59.0,True
559,88.0,True
562,57.0,True
563,50.0,False
567,49.0,False
568,51.0,True
569,70.0,True
570,52.0,True
571,53.0,True
573,86.0,True
574,58.0,True
577,60.0,True
578,68.0,True
579,50.0,False
580,0.0,False
581,0.0,False
582,59.0,True
586,86.0,True
587,63.0,True
588,60.0,True
589,47.0,False
592,59.0,True
593,62.0,True
